GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC02_EST_VC02,HC03_EST_VC02,HC04_EST_VC02,HC05_EST_VC02,HC01_EST_VC03,HC02_EST_VC03,HC03_EST_VC03,HC04_EST_VC03,HC05_EST_VC03,HC01_EST_VC06,HC02_EST_VC06,HC03_EST_VC06,HC04_EST_VC06,HC05_EST_VC06,HC01_EST_VC07,HC02_EST_VC07,HC03_EST_VC07,HC04_EST_VC07,HC05_EST_VC07,HC01_EST_VC10,HC02_EST_VC10,HC03_EST_VC10,HC04_EST_VC10,HC05_EST_VC10,HC01_EST_VC11,HC02_EST_VC11,HC03_EST_VC11,HC04_EST_VC11,HC05_EST_VC11,HC01_EST_VC12,HC02_EST_VC12,HC03_EST_VC12,HC04_EST_VC12,HC05_EST_VC12,HC01_EST_VC13,HC02_EST_VC13,HC03_EST_VC13,HC04_EST_VC13,HC05_EST_VC13,HC01_EST_VC15,HC02_EST_VC15,HC03_EST_VC15,HC04_EST_VC15,HC05_EST_VC15,HC01_EST_VC17,HC02_EST_VC17,HC03_EST_VC17,HC04_EST_VC17,HC05_EST_VC17,HC01_EST_VC18,HC02_EST_VC18,HC03_EST_VC18,HC04_EST_VC18,HC05_EST_VC18,HC01_EST_VC19,HC02_EST_VC19,HC03_EST_VC19,HC04_EST_VC19,HC05_EST_VC19,HC01_EST_VC20,HC02_EST_VC20,HC03_EST_VC20,HC04_EST_VC20,HC05_EST_VC20,HC01_EST_VC23,HC02_EST_VC23,HC03_EST_VC23,HC04_EST_VC23,HC05_EST_VC23,HC01_EST_VC24,HC02_EST_VC24,HC03_EST_VC24,HC04_EST_VC24,HC05_EST_VC24,HC01_EST_VC27,HC02_EST_VC27,HC03_EST_VC27,HC04_EST_VC27,HC05_EST_VC27,HC01_EST_VC28,HC02_EST_VC28,HC03_EST_VC28,HC04_EST_VC28,HC05_EST_VC28,HC01_EST_VC29,HC02_EST_VC29,HC03_EST_VC29,HC04_EST_VC29,HC05_EST_VC29,HC01_EST_VC32,HC02_EST_VC32,HC03_EST_VC32,HC04_EST_VC32,HC05_EST_VC32,HC01_EST_VC33,HC02_EST_VC33,HC03_EST_VC33,HC04_EST_VC33,HC05_EST_VC33
0500000US01083,01083,"Limestone County, Alabama",31638,19030,518,3320,8770,2.78,3.38,3.20,3.49,1.19,22868,19030,518,3320,(X),3.34,3.38,2.89,3.24,(X),9286,7160,151,1975,(X),23.3,24.5,0.0,21.0,(X),18.2,22.6,0.0,3.7,(X),58.4,52.9,100.0,75.3,(X),31638,19030,518,3320,8770,31.8,40.2,29.2,66.1,0.5,35.6,33.2,32.0,27.5,44.0,24.6,(X),(X),(X),88.7,6.7,(X),(X),(X),24.3,0.0,(X),(X),(X),(X),5.3,(X),(X),(X),(X),80.2,89.0,68.7,66.7,67.0,7.7,3.7,5.2,12.4,14.7,12.1,7.4,26.1,20.9,18.3,75.0,84.4,65.6,52.7,63.6,25.0,15.6,34.4,47.3,36.4
0500000US01089,01089,"Madison County, Alabama",140771,69745,5313,17610,48103,2.43,3.07,2.84,3.14,1.19,92668,69745,5313,17610,(X),3.03,3.06,2.63,3.05,(X),39755,28582,2370,8803,(X),22.2,21.0,16.2,27.8,(X),15.4,15.1,13.7,16.9,(X),62.4,63.9,70.2,55.4,(X),140771,69745,5313,17610,48103,31.3,43.0,49.9,62.4,0.8,33.4,33.2,25.1,26.7,37.1,29.3,(X),(X),(X),85.8,9.2,(X),(X),(X),27.0,0.3,(X),(X),(X),(X),2.6,(X),(X),(X),(X),75.4,90.9,76.0,61.1,58.3,20.1,6.8,14.5,29.5,36.4,4.5,2.3,9.4,9.3,5.3,68.3,85.1,63.0,46.5,52.6,31.7,14.9,37.0,53.5,47.4
0500000US01095,01095,"Marshall County, Alabama",34872,17846,2178,4196,10652,2.68,3.26,3.89,3.63,1.10,24220,17846,2178,4196,(X),3.28,3.24,3.30,3.40,(X),9905,6374,1046,2485,(X),22.1,19.6,16.3,31.1,(X),21.1,20.2,47.3,12.2,(X),56.8,60.2,36.3,56.7,(X),34872,17846,2178,4196,10652,32.1,38.6,53.0,69.7,2.0,40.8,38.0,32.8,25.8,53.0,28.5,(X),(X),(X),93.3,12.9,(X),(X),(X),42.2,0.0,(X),(X),(X),(X),4.2,(X),(X),(X),(X),71.0,80.8,53.6,56.0,64.2,12.2,2.9,21.3,26.2,20.3,16.8,16.3,25.0,17.8,15.5,67.3,82.6,43.6,37.2,58.4,32.7,17.4,56.4,62.8,41.6
0500000US01097,01097,"Mobile County, Alabama",153450,70870,5752,27708,49120,2.63,3.19,3.57,3.55,1.19,104330,70870,5752,27708,(X),3.26,3.17,3.38,3.45,(X),42103,24896,2109,15098,(X),19.9,23.7,15.6,14.3,(X),20.4,19.0,9.5,24.2,(X),59.7,57.3,74.9,61.5,(X),153450,70870,5752,27708,49120,31.7,39.9,46.2,62.8,0.6,37.2,39.0,35.7,24.4,42.1,27.9,(X),(X),(X),87.2,9.8,(X),(X),(X),30.8,0.2,(X),(X),(X),(X),3.1,(X),(X),(X),(X),77.1,89.0,82.0,71.1,62.9,16.1,4.7,11.5,19.8,30.8,6.8,6.3,6.5,9.1,6.3,65.2,82.8,65.4,44.6,51.5,34.8,17.2,34.6,55.4,48.5
0500000US01101,01101,"Montgomery County, Alabama",89415,32704,3427,20167,33117,2.46,3.09,3.21,3.31,1.23,56298,32704,3427,20167,(X),3.08,3.07,2.78,3.16,(X),24900,12967,1268,10665,(X),20.8,20.7,22.9,20.7,(X),21.0,18.0,14.8,25.4,(X),58.2,61.3,62.3,54.0,(X),89415,32704,3427,20167,33117,32.2,42.8,50.7,63.8,0.7,34.1,37.6,29.6,23.2,37.8,31.5,(X),(X),(X),85.1,9.9,(X),(X),(X),26.7,0.2,(X),(X),(X),(X),4.4,(X),(X),(X),(X),76.4,90.6,84.2,72.3,64.0,20.1,7.1,11.9,23.7,31.6,3.5,2.3,3.9,4.0,4.4,58.4,77.1,52.4,47.5,47.1,41.6,22.9,47.6,52.5,52.9
0500000US01103,01103,"Morgan County, Alabama",45016,22433,2093,5846,14644,2.62,3.31,3.74,3.27,1.13,30372,22433,2093,5846,(X),3.26,3.29,3.58,3.05,(X),13623,8562,1521,3540,(X),22.6,22.6,6.2,29.6,(X),17.3,18.8,10.2,16.6,(X),60.1,58.6,83.6,53.7,(X),45016,22433,2093,5846,14644,32.6,39.9,82.8,67.5,0.4,39.6,37.2,21.2,18.6,54.2,30.1,(X),(X),(X),92.4,13.7,(X),(X),(X),42.0,0.3,(X),(X),(X),(X),3.4,(X),(X),(X),(X),74.0,87.5,79.3,62.1,57.2,15.2,1.3,9.4,37.2,28.6,10.8,11.2,11.3,0.7,14.2,68.4,84.8,63.6,43.6,53.7,31.6,15.2,36.4,56.4,46.3
0500000US01115,01115,"St. Clair County, Alabama",32267,17863,847,4342,9215,2.63,3.14,3.31,3.41,1.19,23052,17863,847,4342,(X),3.09,3.08,2.92,3.16,(X),8622,5947,533,2142,(X),20.5,21.5,29.6,15.5,(X),18.8,22.9,0.0,11.9,(X),60.7,55.6,70.4,72.6,(X),32267,17863,847,4342,9215,29.0,34.4,62.9,62.0,0.0,37.4,38.6,39.7,26.9,39.8,24.4,(X),(X),(X),85.3,8.1,(X),(X),(X),28.4,0.5,(X),(X),(X),(X),3.3,(X),(X),(X),(X),61.2,69.5,48.9,51.1,51.0,10.6,6.1,8.6,5.5,21.8,28.2,24.4,42.5,43.5,27.2,75.5,85.5,44.2,57.0,67.9,24.5,14.5,55.8,43.0,32.1
0500000US01117,01117,"Shelby County, Alabama",75714,43753,2481,7504,21976,2.69,3.25,3.29,3.41,1.25,53738,43753,2481,7504,(X),3.23,3.24,3.07,3.21,(X),23376,18173,1168,4035,(X),17.4,19.0,11.9,11.8,(X),18.9,21.3,26.3,5.8,(X),63.6,59.6,61.8,82.3,(X),75714,43753,2481,7504,21976,34.6,45.1,49.4,66.7,1.2,34.5,34.7,28.4,28.9,36.9,24.4,(X),(X),(X),83.9,8.0,(X),(X),(X),27.6,0.4,(X),(X),(X),(X),3.3,(X),(X),(X),(X),79.0,89.6,71.8,70.2,61.8,12.5,4.8,7.6,10.8,28.8,8.5,5.6,20.6,19.0,9.4,78.1,88.6,80.5,60.1,63.1,21.9,11.4,19.5,39.9,36.9
0500000US01121,01121,"Talladega County, Alabama",30649,13497,1361,6102,9689,2.54,3.02,3.93,3.36,1.16,20960,13497,1361,6102,(X),3.11,3.01,3.66,3.20,(X),7322,3817,535,2970,(X),20.4,14.7,0.0,31.4,(X),19.2,14.1,17.9,25.9,(X),60.4,71.1,82.1,42.8,(X),30649,13497,1361,6102,9689,29.6,32.5,60.5,60.0,2.1,40.3,46.6,18.2,24.2,44.8,28.9,(X),(X),(X),91.5,10.9,(X),(X),(X),34.4,0.0,(X),(X),(X),(X),3.1,(X),(X),(X),(X),66.6,82.3,81.9,54.8,50.2,10.0,0.8,0.0,18.8,18.6,23.4,16.9,18.1,26.4,31.3,72.4,88.4,80.2,48.1,64.1,27.6,11.6,19.8,51.9,35.9
0500000US01125,01125,"Tuscaloosa County, Alabama",68320,33480,2020,10715,22105,2.81,3.51,3.72,3.59,1.31,46215,33480,2020,10715,(X),3.47,3.45,3.51,3.55,(X),20125,13222,948,5955,(X),23.4,21.5,33.8,25.9,(X),18.0,21.5,8.4,11.8,(X),58.6,57.0,57.8,62.2,(X),68320,33480,2020,10715,22105,33.2,43.5,49.3,66.6,0.0,33.8,32.8,23.3,27.5,39.3,26.8,(X),(X),(X),82.8,9.3,(X),(X),(X),28.7,0.3,(X),(X),(X),(X),2.7,(X),(X),(X),(X),69.7,86.7,59.8,47.0,55.8,20.5,5.7,6.2,36.4,36.6,9.8,7.6,34.1,16.6,7.6,63.6,81.3,83.5,35.5,48.7,36.4,18.7,16.5,64.5,51.3
0500000US01127,01127,"Walker County, Alabama",25211,13240,901,3940,7130,2.56,3.09,3.33,3.14,1.15,18081,13240,901,3940,(X),3.03,3.05,2.91,2.98,(X),6486,3566,449,2471,(X),24.3,20.9,46.1,25.3,(X),19.5,17.4,0.0,26.1,(X),56.2,61.7,53.9,48.6,(X),25211,13240,901,3940,7130,32.1,33.6,67.6,76.8,0.0,44.1,43.0,10.7,26.7,60.1,24.9,(X),(X),(X),88.2,13.1,(X),(X),(X),46.3,0.0,(X),(X),(X),(X),4.2,(X),(X),(X),(X),64.6,72.8,75.8,44.4,59.0,8.3,2.5,0.0,24.5,11.1,27.2,24.7,24.2,31.1,29.9,73.0,87.1,69.7,35.9,67.9,27.0,12.9,30.3,64.1,32.1
0500000US02020,02020,"Anchorage Municipality, Alaska",104683,52277,6561,11872,33973,2.79,3.43,3.41,3.46,1.46,70710,52277,6561,11872,(X),3.30,3.38,2.88,3.14,(X),34332,23619,4044,6669,(X),29.1,26.3,42.5,30.8,(X),19.8,22.2,18.4,12.3,(X),51.1,51.5,39.1,56.9,(X),104683,52277,6561,11872,33973,35.7,47.7,64.1,66.5,1.0,25.6,25.7,18.4,27.6,26.1,23.6,(X),(X),(X),72.9,5.0,(X),(X),(X),15.4,0.9,(X),(X),(X),(X),8.4,(X),(X),(X),(X),60.2,74.0,49.6,45.6,46.3,34.9,22.3,46.2,41.3,49.9,4.8,3.7,4.2,13.1,3.8,58.4,68.4,48.3,49.4,48.2,41.6,31.6,51.7,50.6,51.8
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",35692,19386,1154,3139,12013,2.67,3.18,3.34,3.93,1.44,23679,19386,1154,3139,(X),3.18,3.16,2.95,3.41,(X),12296,9318,524,2454,(X),36.2,35.9,27.3,39.2,(X),16.2,17.8,0.0,13.4,(X),47.7,46.3,72.7,47.4,(X),35692,19386,1154,3139,12013,35.8,48.9,45.4,85.9,0.8,24.5,26.1,7.3,27.2,22.8,24.6,(X),(X),(X),73.2,5.6,(X),(X),(X),16.7,0.2,(X),(X),(X),(X),7.4,(X),(X),(X),(X),70.2,81.3,45.2,71.8,54.3,26.9,16.9,41.4,28.2,41.3,2.9,1.8,13.3,0.0,4.4,56.5,67.3,50.5,52.0,40.9,43.5,32.7,49.5,48.0,59.1
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",30766,17365,1593,2450,9358,3.12,3.72,4.17,4.19,1.54,21408,17365,1593,2450,(X),3.66,3.64,3.54,3.88,(X),11251,8410,1088,1753,(X),13.5,14.1,21.2,6.0,(X),27.3,30.2,11.3,22.8,(X),59.2,55.6,67.5,71.2,(X),30766,17365,1593,2450,9358,39.9,50.5,72.1,78.7,4.6,31.5,30.5,24.4,16.4,38.6,22.7,(X),(X),(X),74.7,6.6,(X),(X),(X),21.6,0.3,(X),(X),(X),(X),7.8,(X),(X),(X),(X),82.7,92.9,77.8,61.6,70.0,14.2,4.9,22.2,30.7,25.7,3.2,2.2,0.0,7.8,4.3,75.8,87.4,60.6,56.2,61.9,24.2,12.6,39.4,43.8,38.1
0500000US04001,04001,"Apache County, Arizona",18766,7557,1187,4026,5996,3.73,4.13,5.58,6.07,1.30,12770,7557,1187,4026,(X),4.75,4.06,5.15,5.91,(X),3733,1734,451,1548,(X),9.4,12.0,7.1,7.1,(X),23.9,28.0,29.9,17.6,(X),66.7,60.0,63.0,75.3,(X),18766,7557,1187,4026,5996,31.9,33.7,60.9,64.0,2.3,46.6,51.1,31.2,40.2,48.3,26.8,(X),(X),(X),83.7,11.9,(X),(X),(X),37.2,0.3,(X),(X),(X),(X),6.0,(X),(X),(X),(X),71.9,71.9,72.9,73.1,71.0,7.2,5.7,8.8,9.6,7.3,20.8,22.4,18.3,17.3,21.7,74.3,73.7,78.5,73.8,74.5,25.7,26.3,21.5,26.2,25.5
0500000US04003,04003,"Cochise County, Arizona",47653,24096,2236,5526,15795,2.50,3.00,3.93,3.48,1.20,31858,24096,2236,5526,(X),3.05,2.97,3.50,3.20,(X),12102,8005,806,3291,(X),20.7,13.6,50.9,30.5,(X),21.0,21.8,16.9,20.0,(X),58.4,64.6,32.3,49.5,(X),47653,24096,2236,5526,15795,29.3,37.2,45.3,70.2,0.5,47.4,48.1,41.0,22.5,55.9,29.0,(X),(X),(X),87.4,13.0,(X),(X),(X),39.3,0.1,(X),(X),(X),(X),4.8,(X),(X),(X),(X),70.3,81.0,81.2,49.4,59.7,10.6,1.9,2.0,29.5,18.6,19.1,17.1,16.9,21.1,21.7,67.1,80.3,59.7,28.0,61.6,32.9,19.7,40.3,72.0,38.4
0500000US04005,04005,"Coconino County, Arizona",46919,20968,3187,6377,16387,2.70,3.20,3.38,3.66,1.54,30532,20968,3187,6377,(X),3.19,3.16,2.99,3.38,(X),11699,7512,1268,2919,(X),24.9,25.0,33.0,21.4,(X),21.4,21.5,18.6,22.4,(X),53.7,53.6,48.3,56.2,(X),46919,20968,3187,6377,16387,30.9,40.8,49.5,65.7,1.2,34.7,40.5,20.9,30.1,31.6,23.1,(X),(X),(X),66.3,7.5,(X),(X),(X),21.4,0.4,(X),(X),(X),(X),6.3,(X),(X),(X),(X),66.1,79.6,52.6,65.5,51.7,21.1,7.2,32.0,20.6,36.9,12.8,13.1,15.4,13.8,11.4,60.4,78.4,43.1,54.3,43.0,39.6,21.6,56.9,45.7,57.0
0500000US04013,04013,"Maricopa County, Arizona",1458064,681289,84174,180818,511783,2.77,3.41,3.83,3.86,1.35,946281,681289,84174,180818,(X),3.42,3.38,3.37,3.59,(X),423416,280038,42616,100762,(X),20.5,20.7,25.7,17.7,(X),21.5,22.8,17.1,19.9,(X),58.0,56.5,57.3,62.4,(X),1458064,681289,84174,180818,511783,32.3,43.7,58.1,66.5,0.9,35.3,36.7,24.2,23.9,39.3,27.4,(X),(X),(X),77.9,9.6,(X),(X),(X),27.3,0.5,(X),(X),(X),(X),7.1,(X),(X),(X),(X),71.6,86.7,70.2,64.9,54.2,24.0,9.9,25.5,30.0,40.3,4.4,3.4,4.3,5.1,5.5,58.9,73.6,45.4,41.0,47.8,41.1,26.4,54.6,59.0,52.2
0500000US04015,04015,"Mohave County, Arizona",81292,39374,4154,8735,29029,2.47,2.75,4.10,3.88,1.42,52263,39374,4154,8735,(X),2.94,2.75,3.55,3.54,(X),13377,7211,1963,4203,(X),18.0,19.2,11.1,19.4,(X),21.0,20.3,33.2,16.5,(X),61.0,60.6,55.7,64.1,(X),81292,39374,4154,8735,29029,20.4,20.2,68.0,58.9,2.2,56.2,63.7,38.5,39.4,53.7,27.4,(X),(X),(X),76.6,13.4,(X),(X),(X),37.6,0.1,(X),(X),(X),(X),7.8,(X),(X),(X),(X),61.4,74.7,69.3,49.3,45.8,10.0,2.7,10.7,15.5,18.2,28.6,22.6,20.0,35.3,36.0,67.2,80.3,46.4,49.3,57.8,32.8,19.7,53.6,50.7,42.2
0500000US04017,04017,"Navajo County, Arizona",33236,14854,1530,6068,10784,3.17,3.78,4.50,4.90,1.16,22452,14854,1530,6068,(X),3.98,3.69,4.16,4.63,(X),7287,4237,504,2546,(X),17.2,18.7,17.7,14.7,(X),28.4,29.1,25.4,27.8,(X),54.4,52.3,56.9,57.5,(X),33236,14854,1530,6068,10784,31.7,38.5,52.5,64.8,0.7,45.5,50.8,35.1,33.9,46.0,28.8,(X),(X),(X),88.9,9.9,(X),(X),(X),30.4,0.4,(X),(X),(X),(X),4.9,(X),(X),(X),(X),71.7,80.8,79.4,72.9,57.3,8.0,2.7,1.9,8.4,15.8,20.4,16.5,18.7,18.7,26.9,69.9,84.0,59.5,56.9,59.2,30.1,16.0,40.5,43.1,40.8
